time	sap_flux	sap_flux_err	pdcsap_flux	pdcsap_flux_err
1790.7867556045705	15282310.0	415.5974	16097453.0	420.83502
1790.788144532454	15276009.0	415.4687	16089488.0	420.70465
1790.7895334603393	15275359.0	415.46603	16095978.0	420.70193
1790.790922388224	15283240.0	415.5719	16104869.0	420.80917
1790.792311316108	15280597.0	415.52927	16099949.0	420.76602
1790.7937002439917	15276023.0	415.48364	16094203.0	420.71982
1790.7950891718754	15277005.0	415.48978	16099613.0	420.726
1790.7964780997597	15279200.0	415.5112	16120936.0	420.74768
1790.797867027645	15279701.0	415.52542	16104533.0	420.76212
1790.7992559550637	15273708.0	415.4515	16095495.0	420.68726
1790.8006448829472	15274275.0	415.462	16099324.0	420.69788
1790.802033810831	15279339.0	415.5219	16107852.0	420.7585
1790.8034227387154	15269164.0	415.3996	16095224.0	420.6347
1790.8048116661341	15284808.0	415.58908	16118198.0	420.82654
1790.806200594018	15271553.0	415.42636	16119339.0	420.66177
1790.8075895219024	15277925.0	415.50223	16128680.0	420.7386
1790.8089784497868	15265935.0	415.33832	16098913.0	420.57263
1790.8103673772055	15275351.0	415.46704	16111473.0	420.703
1790.8117563050898	15278370.0	415.50388	16128801.0	420.7403
1790.813145232508	15268549.0	415.3651	16113270.0	420.59976
1790.8145341603915	15268746.0	415.36685	16120154.0	420.60153
1790.8159230878102	15270353.0	415.4012	16118696.0	420.6363
1790.8173120156955	15272082.0	415.41818	16122519.0	420.6535
1790.8187009435799	15274774.0	415.4586	16142601.0	420.6944
1790.8200898709977	15268819.0	415.37265	16132797.0	420.6074
1790.821478798416	15269907.0	415.39102	16131793.0	420.62598
1790.8228677262998	15266594.0	415.3569	16135569.0	420.59146
1790.824256653719	15269162.0	415.3761	16145825.0	420.6109
1790.8256455816042	15270170.0	415.398	16143650.0	420.63306
1790.827034509022	15264141.0	415.31876	16141574.0	420.55283
1790.8284234364403	15265433.0	415.32727	16142579.0	420.56146
1790.8298123643237	15262143.0	415.2827	16145224.0	420.51633
1790.8312012917427	15265073.0	415.32217	16154520.0	420.55627
1790.8325902191616	15268195.0	415.36032	16163693.0	420.5949
1790.833979147046	15269486.0	415.38135	16165689.0	420.6162
1790.8353680744647	15263797.0	415.31647	16174835.0	420.55048
1790.8367570018825	15271410.0	415.41223	16181752.0	420.64746
1790.8381459293012	15279760.0	415.53873	16214555.0	420.77557
1790.83953485672	15267397.0	415.35846	16184914.0	420.59302
1790.8409237846038	15262067.0	415.27884	16183048.0	420.51242
1790.8423127120225	15275735.0	415.47012	16204396.0	420.70612
1790.8437016394412	15263006.0	415.2957	16196339.0	420.52948
1790.8450905668599	15291511.0	415.67725	16242811.0	420.91583
1790.8464794942786	15270964.0	415.40872	16219111.0	420.64395
1790.8478684216968	15262861.0	415.2938	16216873.0	420.5276
1790.8492573491149	15261259.0	415.26752	16220295.0	420.50092
1790.8506462765338	15290970.0	415.68417	16269358.0	420.92285
1790.852035203953	15262166.0	415.28073	16238730.0	420.51434
1790.8534241313716	15262471.0	415.29022	16249274.0	420.52393
1790.85481305879	15280354.0	415.5276	16268923.0	420.76428
1790.8562019862077	15286405.0	415.61456	16300504.0	420.85236
