source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
418551920284673408,10.12724197930297,56.53718879378639,14.090976249252234,49.12564571845064,-31.595374311196693,1.9425238370895386,2.9869861602783203,1.8435026407241821,1.1434835195541382
4357027756659697664,243.58621066034064,-3.694967708333353,20.411292350652413,-45.34001940987892,-144.43272215287442,2.016425132751465,3.482232093811035,1.918921709060669,1.5633103847503662
4993479684438433792,6.57215550145885,-42.30782032569077,39.91825815729799,176.2682926212513,-398.87213472266046,2.089977502822876,3.301706075668335,2.03222393989563,1.269482135772705
4038055447778237312,274.4060904518451,-36.76242931758906,23.885852068095137,-131.80407046542277,-166.30893037257962,2.116495132446289,3.7426791191101074,1.9154117107391357,1.8272674083709717
1279798794197267072,221.24648617076684,27.074315757773466,13.82667260913517,-50.81825554241812,21.02352084436887,2.183352470397949,3.2867486476898193,2.1027421951293945,1.1840064525604248
1222646935698492160,233.67254376294218,26.714295174747274,42.24080076261629,118.92724128982546,-87.71096348146563,2.2693703174591064,2.9421517848968506,2.4125688076019287,0.5295829772949219
5111187420714898304,59.507642022011794,-13.509012610930261,17.00162879163835,62.22700221870858,-112.00607671028064,2.2707934379577637,3.6330206394195557,1.9435346126556396,1.689486026763916
1563590579347125632,200.98237336533253,54.92525907860076,40.213284471127004,122.46748022957269,-22.68188642875364,2.282646894454956,2.968149423599243,2.4338107109069824,0.5343387126922607
6227443304915069056,226.0172005141403,-25.2821590562471,12.538654525627177,-73.48399761123272,-42.632144437537974,2.303412437438965,3.9132633209228516,2.0032083988189697,1.9100549221038818
804753180515722624,155.58176101601168,41.49966386040507,17.798718499448466,-73.74880343645458,28.259324999144575,2.324510097503662,3.661546230316162,2.016453266143799,1.6450929641723633
4429785739602747392,236.0675744297602,6.4258326669088035,43.94497411580315,133.92233920144864,45.55042108403326,2.3253543376922607,3.318448543548584,1.983608603477478,1.334839940071106
2106630885454013184,283.83388403904866,43.946451132674866,10.440410406499382,20.136233498600635,81.34922542993326,2.3616831302642822,4.425215244293213,2.0015056133270264,2.4237096309661865
6407842789021567872,334.62477862508103,-60.25977542657531,17.732356212677455,-76.99973801843797,-32.82300860348311,2.396662950515747,3.545750141143799,2.107055187225342,1.438694953918457
856096765753549056,165.46097417209683,56.38257749355825,38.60307997876443,79.9586126663101,32.364540942038154,2.398536443710327,3.0090785026550293,2.515501022338867,0.4935774803161621
3704342295607157120,193.89877797423057,3.3972301950318524,17.4064804454874,-469.7138768334123,-53.70998944969009,2.4037773609161377,3.910210371017456,2.0112714767456055,1.8989388942718506
4473334474604992384,265.86794661822,4.568012245771951,39.22844495769126,-41.79318180686009,159.42988775386635,2.4423248767852783,3.399838924407959,2.110597610473633,1.2892413139343262
3501215734352781440,188.59681758232725,-23.397012233844624,22.00492733579523,1.1162392204898848,-56.70396951863153,2.4482829570770264,3.3300256729125977,2.2373757362365723,1.0926499366760254
4629125170492116224,56.810583950214635,-74.23845269276111,15.07934675483247,50.79864554281097,114.79143876879375,2.474003553390503,3.8621482849121094,2.035936117172241,1.8262121677398682
702343774145932544,140.2625728404832,34.39263287351821,14.704195701416294,-218.72256286031558,16.555167975677605,2.4886538982391357,3.7024338245391846,2.1015405654907227,1.600893259048462
1625209684868707328,245.9977069286059,61.514463511632556,35.71632757836309,-16.394368866203294,57.09390745268847,2.494415044784546,3.300489664077759,2.2034332752227783,1.0970563888549805
5361403934691772160,161.6928645043898,-49.420476913951866,29.050584144755422,68.53673565077756,-48.81915516222894,2.5133938789367676,3.321503162384033,2.2191338539123535,1.1023693084716797
4076915349846977664,276.99244340050245,-25.422523033637848,42.91983428306095,-46.151553394133586,-185.06736012548174,2.543506145477295,3.4018163681030273,2.200824022293091,1.2009923458099365
5306951892646516992,142.80522590576416,-57.03435042166543,14.623396609093676,-32.615183222963346,5.856565752556893,2.5465452671051025,3.7475292682647705,2.100306272506714,1.6472229957580566
1297565458994346240,247.55452931903397,21.48954466071868,22.002254438170677,-98.82186841087012,-14.869239096336226,2.547637939453125,3.367759943008423,2.2266294956207275,1.1411304473876953
5099455184968674560,49.87942190770887,-21.75771998267506,10.615268776173938,52.7739441986668,32.718263924053616,2.5895581245422363,4.102621555328369,2.091238498687744,2.011383056640625
5502164890740285696,102.48426657164553,-50.61484787877496,18.757713279082175,32.618184414772365,-69.56573406322882,2.618499279022217,3.5589349269866943,2.2465100288391113,1.312424898147583
3736865265441207424,195.54291476874843,10.95923674149768,30.210957333166505,-273.792912720649,19.803882348563043,2.619050979614258,3.4062745571136475,2.2495508193969727,1.1567237377166748
2968097043228517120,82.06131804802973,-20.759815662845018,20.869734045876413,-5.747658161056199,-83.64984625289725,2.62717604637146,3.372286319732666,2.285059928894043,1.087226390838623
3490234568129160704,182.53082136956726,-22.619722010989726,10.598376382247242,-72.01853020892453,10.636922874839017,2.6297013759613037,3.595086097717285,2.210329055786133,1.3847570419311523
5512070906394195968,112.30725962073404,-43.300592607109294,17.023374330493326,-61.62816586114198,189.62722040883722,2.6405158042907715,3.78836989402771,2.156155824661255,1.632214069366455
447071293401293056,46.19914439438418,53.50642323794812,14.125159961030231,-14.193633797013735,-8.684344352814376,2.6510000228881836,3.3605477809906006,2.342402219772339,1.0181455612182617
2900546759663847168,84.91226376039107,-34.07421247244894,11.400786448797566,1.6847124451941056,-24.344562451710896,2.6532034873962402,3.034528970718384,2.7412972450256348,0.293231725692749
